airport,freq_1993,freq_2003,shift_absolute,shift_pct
ABE,0.0012765455455654613,0.0006148980332266067,-0.0006616475123388546,-51.83109326865183
ABI,0.0,0.00039234695980860294,0.00039234695980860294,0.0
ABQ,0.006901625806959866,0.0057288342319879336,-0.0011727915749719323,-16.992975391236715
ABY,0.0,0.0002236567210503147,0.0002236567210503147,0.0
ACK,3.6174149590960803e-06,2.9536586748876306e-05,2.5919171789780227e-05,716.5108809152741
ACT,0.0,0.00042061994926340964,0.00042061994926340964,0.0
ACV,0.0,0.000613160586947261,0.000613160586947261,0.0
ACY,0.0001463043383456637,1.99016573815958e-05,-0.00012640268096406792,-86.39708322621613
ADK,0.0,1.0266728014315293e-05,1.0266728014315293e-05,0.0
ADQ,5.9486379327357766e-05,0.00010551037405480948,4.602399472745171e-05,77.36896285816691
AEX,0.0,0.0004956460385987906,0.0004956460385987906,0.0
AGS,0.000691127224685079,0.0006524900527251766,-3.8637171959902375e-05,-5.590457238536349
AKN,7.053959170237356e-05,5.1649539395093864e-05,-1.88900523072797e-05,-26.779361563336174
ALB,0.0025147062990649584,0.0026230700328266784,0.00010836373376172,4.309200394575415
AMA,0.0010076510336059859,0.0012948713270977965,0.00028722029349181064,28.5039447102994
ANC,0.003216082866134143,0.0031788948925555323,-3.718797357861068e-05,-1.1563126675063593
ANI,1.6881269809115042e-05,0.0,-1.6881269809115042e-05,-100.0
ATL,0.04380388064218762,0.05669508339031367,0.012891202748126052,29.429362328483982
ATW,0.0,0.00016395174890552732,0.00016395174890552732,0.0
AUS,0.00608509486369279,0.006362054425978549,0.000276959562285759,4.551441982248471
AVL,0.0005538664237371554,0.0005521920175084041,-1.6744062287512781e-06,-0.30231228270769667
AVP,0.0004998061668484417,0.000125569981098164,-0.00037423618575027775,-74.87626415457153
AZO,0.0005072419642643615,0.00047874542479061006,-2.8496539473751403e-05,-5.617938081104768
BDL,0.005183755636384683,0.0051779058117736,-5.849824611083021e-06,-0.11284915843685249
BET,0.00014107918340474713,0.00017374462793456652,3.2665444529819394e-05,23.15397902191164
BFF,0.0,1.5794966175869683e-07,1.5794966175869683e-07,0.0
BFL,0.00013906950842747153,0.00042535843911617054,0.000286288930688699,205.86031684868314
BGM,0.0002678896744708375,0.00017690362116974044,-9.098605330109708e-05,-33.964001591633505
BGR,0.0004983993943643489,0.0006070005501386719,0.00010860115577432307,21.789985502055305
BHM,0.0031887512864431948,0.002986828103856957,-0.00020192318258623792,-6.332359110122621
BIL,0.0010042345861446173,0.0006747609550331529,-0.00032947363111146446,-32.80843297544203
BIS,0.00047468522963249675,0.00028667863609203474,-0.000188006593540462,-39.60658175229456
BMI,0.0,0.0002923648239153478,0.0002923648239153478,0.0
BNA,0.011459568655420927,0.008635423907671472,-0.002824144747749455,-24.644424521279852
BOI,0.0010735683728606256,0.0023502909669694087,0.001276722594108783,118.92326808276157
BOS,0.018386717334592195,0.017492767090113916,-0.0008939502444782789,-4.86193499476075
BPT,0.0,0.000249560465578741,0.000249560465578741,0.0
BQK,0.0,0.00021781258356524293,0.00021781258356524293,0.0
BQN,0.00012681049106609037,4.612130123353948e-05,-8.068918983255088e-05,-63.62974321304201
BRO,4.0394467043239566e-05,0.0002678826263427498,0.00022748815929951024,563.1666313507725
BRW,8.038699909102401e-05,0.0001096170652605356,2.923006616951159e-05,36.36168348119791
BTM,0.00013866757343201642,0.00020328121468344282,6.46136412514264e-05,46.59607120269115
BTR,0.001292622945383666,0.0011462406953828628,-0.00014638225000080328,-11.324435367914289
BTV,0.00066962370242823,0.0010860618742527994,0.0004164381718245694,62.18987922835708
BUF,0.004440778797285894,0.003350586174887236,-0.001090192622398658,-24.549581777524242
BUR,0.00497977362619121,0.004103532212490943,-0.0008762414137002666,-17.596008964979028
BWI,0.010329930350694313,0.01528747391263899,0.004957543561944677,47.99203279827982
BZN,0.0008098990158420669,0.0006270601571820264,-0.00018283885866004048,-22.575513129860955
CAE,0.00127252619561091,0.0014371839723423825,0.00016465777673147245,12.939441034644014
CAK,0.000279545789339036,0.0006812368911652594,0.0004016911018262234,143.69420579576263
CDC,0.0,0.00016521534619959687,0.00016521534619959687,0.0
CDV,0.0001372608009479235,0.00010882731695174211,-2.843348399618138e-05,-20.714933761000704
CEC,0.0,0.00018322160764008832,0.00018322160764008832,0.0
CHA,0.0007480010265419783,0.0005803070573014522,-0.00016769396924052617,-22.41894907762069
CHO,0.0,0.00040229778849940084,0.00040229778849940084,0.0
CHS,0.0018087074795480403,0.001513473658971833,-0.00029523382057620724,-16.322916995399403
CIC,0.0,0.00016947998706708168,0.00016947998706708168,0.0
CID,0.0009375133768990675,0.0008263926303215018,-0.00011112074657756564,-11.852710512260657
CLD,0.0,0.00033058864206095246,0.00033058864206095246,0.0
CLE,0.010972825375924778,0.013912522107029535,0.002939696731104757,26.790700028405425
CLL,0.0,0.0005003845284515516,0.0005003845284515516,0.0
CLT,0.02330177942651513,0.016009619766199752,-0.007292159660315378,-31.294432613234758
CMH,0.007746895102401984,0.0054274662773523405,-0.0023194288250496433,-29.94010883573842
CMI,0.0,0.00028967967966545,0.00028967967966545,0.0
COD,1.4871594831839441e-05,0.0001290448736568553,0.00011417327882501587,767.7272015276789
COS,0.0022401846971691116,0.0018494325895325812,-0.0003907521076365304,-17.442852284917315
CPR,0.00020900619763666243,0.0003271137495022611,0.00011810755186559868,56.5091146583689
CRP,0.001294431652863214,0.0012108421070421698,-8.35895458210442e-05,-6.45762529339796
CRW,0.00047930748208023066,0.0008316049691595388,0.0003522974870793081,73.50135356750752
CSG,0.00020217330271392537,0.00032948299442864156,0.0001273096917147162,62.97057524694991
CVG,0.01391619534764262,0.014185301172886803,0.0002691058252441824,1.9337600437591478
DAB,0.00102131682345146,0.00046026531436484255,-0.0005610515090866174,-54.93412976304335
DAL,0.008283478321334569,0.006945994325500452,-0.001337483995834117,-16.14640545855418
DAY,0.002889108747331403,0.0019775297652188844,-0.0009115789821125186,-31.552255793573753
DBQ,0.0,0.00016268815161145773,0.00016268815161145773,0.0
DCA,0.017225326165224625,0.012011124078778341,-0.0052142020864462835,-30.270556484282913
DEN,0.03150547365125186,0.02199133140666336,-0.009514142244588498,-30.19837870049117
DET,0.0006187789255031574,0.0,-0.0006187789255031574,-100.0
DFW,0.051415323651121225,0.051279779236916755,-0.00013554441420447066,-0.26362649221894924
DHN,0.0,0.00027830730401882383,0.00027830730401882383,0.0
DLG,5.9486379327357766e-05,4.106691205726117e-05,-1.8419467270096593e-05,-30.96417613304881
DLH,0.0003733976107778065,0.00018559085256646877,-0.00018780675821133773,-50.29672199030052
DRO,0.0,0.0002388198885791496,0.0002388198885791496,0.0
DSM,0.0019523992404232456,0.0014291285395926889,-0.0005232707008305567,-26.80141899241473
DTW,0.0251559055605496,0.02163957750992674,-0.003516328050622859,-13.978141403652316
DUT,4.200220702506005e-05,8.071227715869408e-05,3.871007013363403e-05,92.16199070334135
EFD,0.0,0.00024182093215256484,0.00024182093215256484,0.0
EGE,0.00010631180629787925,0.00016679484281718386,6.048303651930461e-05,56.89211633732833
EKO,0.0,0.0004638981565852926,0.0004638981565852926,0.0
ELM,0.0002674877394753824,0.0,-0.0002674877394753824,-100.0
ELP,0.005444410480937328,0.0031286669001162667,-0.0023157435808210617,-42.53433110764226
ERI,0.00028095256182312893,9.161080382004415e-06,-0.0002717914814411245,-96.73927857338005
EUG,0.0005731593035190012,0.0006096856943885698,3.652639086956853e-05,6.372816535526692
EVV,0.00025201324215036024,0.0006447505192990004,0.0003927372771486402,155.83993674202202
EWR,0.021867876330228988,0.02273811740745848,0.0008702410772294909,3.97954087579376
EYW,0.0,0.00012225303820123133,0.00012225303820123133,0.0
FAI,0.0007900032335670384,0.0008226018384392931,3.2598604872254716e-05,4.126388790216065
FAR,0.0006354592278145448,0.0006466459152401048,1.1186687425559995e-05,1.7604099422763857
FAT,0.0007666910038306414,0.0021113131287285006,0.0013446221248978592,175.37992726922357
FAY,0.0006139557055576958,0.00027040982093088896,-0.00034354588462680687,-55.95613519296834
FCA,0.00016298464065705117,0.00028967967966545,0.00012669503900839883,77.73434263354167
FLL,0.006636750644954942,0.009385053002378248,0.0027483023574233056,41.41036034723532
FLO,0.0,0.00016126660465562946,0.00016126660465562946,0.0
FMN,0.0,1.5794966175869683e-07,1.5794966175869683e-07,0.0
FNT,0.00014128015090247468,0.0005049650686425538,0.0003636849177400791,257.4210994374786
FSD,0.00118028211415396,0.0005038594210102429,-0.0006764226931437172,-57.310255322184965
FSM,0.0,0.00033895997413416337,0.00033895997413416337,0.0
FWA,0.0006159653805349715,0.0009156341892151655,0.000299668808680194,48.65026804265021
GEG,0.00145701435852481,0.002252836025664293,0.0007958216671394829,54.62002913583035
GFK,0.00027311482941175404,0.00013915365200941192,-0.00013396117740234212,-49.04939716780419
GGG,0.0,0.0001988586241541993,0.0001988586241541993,0.0
GJT,0.0001115369612387958,0.0005953122751685283,0.00048377531392973256,433.73542595802894
GNV,0.0004897577919620638,0.0003708658058094202,-0.00011889198615264363,-24.275670158577668
GPT,0.0,0.0008878350487456348,0.0008878350487456348,0.0
GRB,0.0005432151463575948,0.0007221458535607619,0.00017893070720316712,32.93919700195146
GRR,0.0019312976531618519,0.0019593655541166343,2.806790095478246e-05,1.4533182344435975
GSO,0.0033895178166730273,0.0021602775238736965,-0.0012292402927993307,-36.26593395534615
GSP,0.0014455592111543391,0.001812472368681046,0.0003669131575267069,25.382091213940072
GST,1.728320480457016e-05,1.4057519896524018e-05,-3.225684908046143e-06,-18.663696603266438
GTF,0.0005771786534735524,0.00041177476820492264,-0.00016540388526862978,-28.657311609360992
GTR,0.0,0.00029994640767976526,0.00029994640767976526,0.0
GUC,5.968734682508533e-05,3.5538673895706786e-05,-2.414867292937854e-05,-40.45861344808405
GUM,0.00020478588018438366,0.0,-0.00020478588018438366,-100.0
HDN,9.988084637059733e-05,9.698109231983985e-05,-2.8997540507574767e-06,-2.903213334815211
HLN,0.00023633777732761057,0.00020091196975706237,-3.54258075705482e-05,-14.989481567917545
HNL,0.0028235933430722183,0.002452800297450803,-0.0003707930456214154,-13.131956360896254
HOU,0.011332758164354837,0.008796690512327102,-0.002536067652027735,-22.378203216269824
HPN,0.0010556822655628728,0.0012218985833652787,0.00016621631780240598,15.744919018203088
HRL,0.001310910987676874,0.0008786739683636304,-0.00043223701931324363,-32.97226305801516
HSV,0.001560311652356776,0.0010402564723427773,-0.0005200551800139987,-33.33021189891649
