roc_auc,pr_auc,brier_score,threshold,true_positives,true_negatives,false_positives,false_negatives,precision,recall,f1_score,train_year,test_year,model
0.557344384233178,0.877760273051657,0.15825644302737316,0.5,4718321,128821,834369,649620,0.8497360738669005,0.8789815312798707,0.8641114235981419,1993,2003,logreg
0.5817064859912037,0.8839800467837933,0.13340868987867593,0.5,5356567,4978,958212,11374,0.848258822676138,0.9978811242522971,0.9170068271772327,1993,2003,lightgbm
0.5739263863794904,0.8760078454821478,0.1420086816034569,0.5,4064065,23664,763532,124668,0.841840153600228,0.9702373008735578,0.9014898523013244,2003,1993,logreg
0.5955486343852935,0.8834225702437335,0.13251998631678488,0.5,4185657,701,786495,3076,0.8418200006757637,0.99926564906381,0.9138106198254863,2003,1993,lightgbm
