feature,psi
DayOfWeek,0.0002365682428337995
CRSDepTime,0.005508101655856401
dep_hour_raw,0.0057626055937216375
Distance,0.008699760240638815
CRSElapsedTime,0.03295128912930322
origin_hourly_volume,0.06490480420758211
dest_hourly_volume,0.08083428797096215
