carrier,freq_1993,freq_2003,shift_absolute,shift_pct
AA,0.15513826664327404,0.11569228310076035,-0.03944598354251369,-25.42634025505522
AS,0.018673096018853967,0.024742340665514582,0.006069244646660615,32.50261574477303
B6,0.0,0.010462901494219596,0.010462901494219596,0.0
CO,0.08246862043248608,0.04697501915534523,-0.03549360127714085,-43.038917216031415
DH,0.0,0.043707672452204825,0.043707672452204825,0.0
DL,0.17802725882945677,0.10248089954227768,-0.0755463592871791,-42.43527636380088
EV,0.0,0.04126008449359206,0.04126008449359206,0.0
FL,0.0,0.02233787296456194,0.02233787296456194,0.0
HA,0.0,0.0012280586201738677,0.0012280586201738677,0.0
HP,0.03515725405245935,0.029403277234351967,-0.005753976818107381,-16.366399974018663
MQ,0.0,0.06505409538990743,0.06505409538990743,0.0
NW,0.09335663752436982,0.0774409817140097,-0.015915655810360113,-17.048231633455618
OO,0.0,0.06132253463085822,0.06132253463085822,0.0
TW,0.04823018977963713,0.0,-0.04823018977963713,-100.0
TZ,0.0,0.01064549130321265,0.01064549130321265,0.0
UA,0.12818189327058324,0.0841107220810942,-0.04407117118948904,-34.381744616970046
US,0.1637103342913454,0.06362954739050575,-0.10008078690083966,-61.132846215274306
WN,0.0970564491575342,0.14918756222229487,0.052131113064760676,53.71215773631452
XE,0.0,0.05031865554511508,0.05031865554511508,0.0
