Year,total_flights,ontime_rate_pct,mean_arr_delay,median_arr_delay,mean_dep_delay,median_dep_delay,mean_distance,median_distance,min_arr_delay,max_arr_delay,p25_arr_delay,p75_arr_delay
1993,4975929,84.17991896588556,4.623454836272784,0.0,5.438679892739627,0.0,669.9908328675912,508.0,-78,150,-6.0,9.0
2003,6331131,84.78644652906408,2.154136125125195,-3.0,3.9689069772841536,0.0,713.420859243001,550.0,-80,150,-10.0,7.0
