,count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct
Year,4975929.0,1993.0,0.0,1993.0,1993.0,1993.0,1993.0,1993.0,0,0.0
Month,4975929.0,6.546644053803822,3.422185500101119,1.0,4.0,7.0,9.0,12.0,0,0.0
DayOfWeek,4975929.0,3.9418550787199735,1.9872692977126498,1.0,2.0,4.0,6.0,7.0,0,0.0
ontime15,4975929.0,0.8417991896588557,0.364929226990745,0.0,1.0,1.0,1.0,1.0,0,0.0
CRSDepTime,4975929.0,1336.1156662404146,463.7719075209485,1.0,930.0,1326.0,1720.0,2400.0,0,0.0
dep_hour_raw,4975929.0,13.097096240722085,4.631878157497526,0.0,9.0,13.0,17.0,24.0,0,0.0
Distance,4975929.0,669.9908328675912,522.2960812040565,11.0,297.0,508.0,910.0,4502.0,0,0.0
CRSElapsedTime,4975929.0,115.03810826078909,64.43762204474591,-10.0,68.0,97.0,147.0,575.0,0,0.0
origin_hourly_volume,4975929.0,86.087332234845,72.85934814362443,1.0,28.0,67.0,123.0,366.0,0,0.0
dest_hourly_volume,4975929.0,84.69548560680829,74.13183683504339,1.0,27.0,65.0,120.0,422.0,0,0.0
UniqueCarrier_freq,4975929.0,0.8450893448131851,0.03784291929273759,0.7918381966164079,0.8128706324772197,0.8363926807521102,0.8669470946073872,0.914330135014158,0,0.0
Origin_freq,4975929.0,0.8447649068394375,0.04704288325313638,0.5,0.8080109402251466,0.8508430609597925,0.8758714870983971,0.983790523690773,0,0.0
Dest_freq,4975929.0,0.8448041820810979,0.03780470477050536,0.5,0.8235085479179968,0.8453567421292324,0.8724710740477563,0.9714285714285714,0,0.0
route_freq,4975929.0,0.8442240317210414,0.07384075993285044,0.0,0.7998281786941581,0.8555643251775849,0.8973765432098766,1.0,0,0.0
dep_hour_bin_freq,4975929.0,0.8448274122954738,0.03620058628360972,0.8037712147432978,0.8040135286557879,0.8559911267440103,0.8776574622022916,0.915593585710829,0,0.0
distance_bin_freq,4975929.0,0.8448581170542767,0.028214119099771732,0.7894806480383413,0.8291511709763464,0.8291511709763464,0.8715481767759887,0.8715481767759887,0,0.0
