year,month,rows_raw
1993,1,422755
1993,2,383950
1993,3,432980
1993,4,420051
1993,5,430185
1993,6,424599
1993,7,436269
1993,8,441745
1993,9,416357
1993,10,428476
1993,11,407900
1993,12,425234
2003,1,552109
2003,2,500206
2003,3,559342
2003,4,527303
2003,5,533782
2003,6,536496
2003,7,558568
2003,8,556984
2003,9,527714
2003,10,552370
2003,11,528171
2003,12,555495
