column,null_count,null_pct,non_null_count
Year,0,0.0,6488540
Month,0,0.0,6488540
DayofMonth,0,0.0,6488540
DayOfWeek,0,0.0,6488540
DepTime,101469,1.563818671072383,6387071
CRSDepTime,0,0.0,6488540
ArrTime,112850,1.73922022519704,6375690
CRSArrTime,0,0.0,6488540
UniqueCarrier,0,0.0,6488540
FlightNum,0,0.0,6488540
TailNum,0,0.0,6488540
ActualElapsedTime,112851,1.7392356369845912,6375689
CRSElapsedTime,1,1.5411787551590957e-05,6488539
AirTime,112850,1.73922022519704,6375690
ArrDelay,112851,1.7392356369845912,6375689
DepDelay,101469,1.563818671072383,6387071
Origin,0,0.0,6488540
Dest,0,0.0,6488540
Distance,0,0.0,6488540
TaxiIn,0,0.0,6488540
TaxiOut,0,0.0,6488540
Cancelled,0,0.0,6488540
CancellationCode,2672742,41.19173188421432,3815798
Diverted,0,0.0,6488540
CarrierDelay,2672742,41.19173188421432,3815798
WeatherDelay,2672742,41.19173188421432,3815798
NASDelay,2672742,41.19173188421432,3815798
SecurityDelay,2672742,41.19173188421432,3815798
LateAircraftDelay,2672742,41.19173188421432,3815798
